type,level,perk,description
main,2,"Restoration","Killing 10 enemies within 5 seconds restores 1 Armour Segments. Cooldown is 15 seconds."
main,3,"Thermal Boost","When a Ranged Weapon is 50% Overheated or you have 50% ammo in Magazine, Ranged Damage increases by 15%"
main,4,"Enhanced Force","Melee Damage increases by 30%"
main,5,"Encompassing Aegis","All Squad Members take 25% less Damage from Ranged Attacks"
main,6,"Adamant Will","After Iron Halo deactivates, you take 20% less Health Damage for 10 seconds"
main,7,"Obdurate Bastion","Iron Halo's Durability increases by 20%"
main,8,"Saving Grace","Reviving a Squad Member fully restores Iron Halo's Charge and all Armour Segments"
main,9,"Offensive Capability","When active, Iron Halo deals Damage that scales with difficulty over time to all enemies within 5 metres"
main,10,"Multi-Kill","Killing 5 or more enemies with one shot from a Multi-Melta restores Ammo by 1"
main,11,"Fortitude","Health increases by 30%"
main,12,"Overwhelming Power","When Iron Halo is active, all Squad Members within 10 metres deal 10% more Ranged Damage"
main,13,"Additional Supplies","Ammo Capacity for all Squad Members' Weapons increases by 25%"
main,14,"Consecutive Execution","Killing 7 enemies within 5 seconds restores Equipment Charge. Cooldown is 90 seconds."
main,15,"Field Adjustment","Iron Halo recharges 20% faster, but its Durability is reduced by 25%"
main,16,"Brute Force","When Iron Halo is in cooldown, Ranged Damage increases by 15%"
main,17,"Coolant Reserve","If both of your Squad Members are Incapacitated or grabbed, your Primary Weapon will not Overheat and you deal 15% more Damage"
main,18,"Auxiliary Ammunition","When your Primary Weapon is out of Ammo, killing 7 enemies within 6 seconds restores Ammo Reserve by 20%. Cooldown is 30 seconds."
main,19,"Strategic Stand","While in Heavy Stance, dealing Damage restores 15% more Contested Health, you do not lose control upon taking Heavy Hits, and you cannot be knocked back but you will not be able to move"
main,20,"Versatility","After switching Weapons, your Secondary Weapon does 20% more Damage. The Effect lasts until reloading or switching back to your Primary Weapon."
main,21,"Bonds of Brotherhood","Reviving a Squad Member restores them to full Health"
main,22,"Emperor's Protection","When Iron Halo expends all its energy, 1 Armour Segment is restored for all Squad Members"
main,23,"Power Regulator","Iron Halo loses energy 20% more slowly"
main,24,"Wrath of the Imperium","When Iron Halo expends all of its energy, enemies in a 10-metre radius take significant Damage that scales with difficulty"
main,25,"Conversion Field","When Iron Halo is active, all Squad Members within 20 metres regenerate Ability Charge 50% faster"